date,valeur
2014-06-21 01:57:10,1.6844
2014-06-20 23:12:07,2.2007
2014-06-20 20:30:05,1.3122
2014-06-20 17:45:05,0.3492
2014-06-20 15:03:03,0.6856
2014-06-20 12:18:10,2.2641
2014-06-20 09:33:06,0.6905
2014-06-20 06:51:03,1.1205
2014-06-20 04:06:07,0.8102
2014-06-20 01:24:05,2.5113
2014-06-19 22:39:06,1.7691
2014-06-19 19:54:19,2.8243
2014-06-19 17:12:13,5.7032
2014-06-19 14:27:09,2.2479
2014-06-19 11:45:02,0.3022
2014-06-19 09:00:09,0.2823
2014-06-19 06:18:04,1.7199
2014-06-19 03:33:04,0.4723
2014-06-19 00:51:06,3.576
2014-06-18 22:06:03,0.6054
2014-06-18 19:21:04,0.313
2014-06-18 16:39:03,0.3208
2014-06-18 13:54:16,3.807
2014-06-18 11:12:03,0.3272
2014-06-18 08:27:10,1.8669
2014-06-18 05:42:05,2.1003
2014-06-18 03:00:06,1.2785
2014-06-18 00:15:08,2.2738
2014-06-17 21:33:04,1.8172
2014-06-17 18:48:07,0.7949
2014-06-17 16:03:04,0.3331
2014-06-17 13:21:03,0.2707
2014-06-17 10:36:06,0.2915
2014-06-17 07:54:08,4.8668
2014-06-17 05:09:05,0.6472
2014-06-17 02:24:12,3.2333
2014-06-16 23:42:06,1.6314
2014-06-16 20:57:06,1.5043
2014-06-16 18:15:03,0.6209
2014-06-16 15:30:05,1.3687
2014-06-16 12:45:08,1.7304
2014-06-16 10:48:02,0.2905
2014-06-16 10:48:02,0.313
2014-06-16 10:48:02,0.3111
2014-06-16 10:48:02,1.9867
2014-06-16 10:48:02,0.3979
2014-06-16 10:48:02,0.5089
2014-06-16 10:48:02,1.0651
2014-06-16 10:48:02,2.9507
2014-06-16 10:48:02,3.1835
2014-06-16 10:48:02,0.749
2014-06-16 10:48:02,6.5529
2014-06-16 10:48:02,2.2617
2014-06-16 10:48:02,0.8295
2014-06-16 10:48:02,2.2869
2014-06-16 10:48:02,0.4904
2014-06-16 10:48:02,2.1824
2014-06-16 10:48:02,0.8274
2014-06-16 10:48:02,0.9972
2014-06-16 10:48:02,0.3402
2014-06-16 10:48:02,2.6211
2014-06-16 10:48:02,1.4263
2014-06-16 10:48:02,2.8549
2014-06-16 10:48:02,0.2775
2014-06-16 10:48:02,1.2477
2014-06-16 10:48:02,2.6866
2014-06-16 10:48:02,0.472
2014-06-16 10:48:02,1.0287
2014-06-16 10:48:02,1.8047
2014-06-16 10:48:02,0.3151
2014-06-16 10:48:02,1.0258
2014-06-16 10:48:02,0.3044
2014-06-16 10:48:02,0.4998
2014-06-16 10:48:02,2.4316
2014-06-16 10:48:02,0.9524
2014-06-16 10:48:02,0.4874
2014-06-16 10:48:02,0.9887
2014-06-16 10:48:02,0.5594
2014-06-16 10:48:02,0.9784
2014-06-16 10:48:02,1.1851
2014-06-16 10:48:02,0.8937
2014-06-16 10:48:02,2.1083
2014-06-16 10:48:02,0.5088
2014-06-16 10:48:02,0.4613
2014-06-16 10:48:02,2.4321
2014-06-16 10:48:02,2.0597
2014-06-16 10:48:02,0.3076
